Suburb,Postcode,Lat,Lon
Sydney,2000,-33.8688,151.2093
Ultimo,2007,-33.8822,151.1987
Chippendale,2008,-33.8872,151.2007
Pyrmont,2009,-33.8733,151.1963
Surry Hills,2010,-33.8861,151.2111
Potts Point,2011,-33.8708,151.2263
Alexandria,2015,-33.908,151.1905
Redfern,2016,-33.8929,151.2053
Waterloo,2017,-33.9001,151.2115
Rosebery,2018,-33.9213,151.2045
Botany,2019,-33.9392,151.2069
Mascot,2020,-33.9312,151.1894
Paddington,2021,-33.8837,151.2296
Bondi Junction,2022,-33.8915,151.2466
Bellevue Hill,2023,-33.8821,151.2514
Waverley,2024,-33.9014,151.2541
Woollahra,2025,-33.8885,151.2394
Bondi,2026,-33.891,151.2646
Edgecliff,2027,-33.8794,151.2356
Double Bay,2028,-33.877,151.2415
Rose Bay,2029,-33.8761,151.2574
Vaucluse,2030,-33.8566,151.2721
Randwick,2031,-33.9144,151.2415
Kingsford,2032,-33.9238,151.2312
Kensington,2033,-33.9097,151.2227
Coogee,2034,-33.9192,151.2536
Maroubra,2035,-33.9458,151.2403
Little Bay,2036,-33.9782,151.2443
Glebe,2037,-33.8778,151.1852
Annandale,2038,-33.8817,151.1714
Rozelle,2039,-33.8647,151.1738
Leichhardt,2040,-33.8845,151.1561
Balmain,2041,-33.8583,151.1788
Newtown,2042,-33.897,151.1793
Erskineville,2043,-33.9005,151.1853
St Peters,2044,-33.909,151.182
Haberfield,2045,-33.8803,151.1396
Five Dock,2046,-33.8648,151.1293
Drummoyne,2047,-33.853,151.1555
Stanmore,2048,-33.8933,151.1648
Petersham,2049,-33.8953,151.1561
Camperdown,2050,-33.8883,151.1751
North Sydney,2060,-33.8358,151.2069
Kirribilli,2061,-33.8491,151.2166
Cammeray,2062,-33.8242,151.2127
Northbridge,2063,-33.8122,151.2155
Artarmon,2064,-33.8087,151.1852
Crows Nest,2065,-33.8256,151.2014
Lane Cove,2066,-33.8157,151.1728
Chatswood,2067,-33.7961,151.178
Willoughby,2068,-33.8078,151.2015
Roseville,2069,-33.785,151.1785
Lindfield,2070,-33.7744,151.1687
Killara,2071,-33.7667,151.1627
Gordon,2072,-33.7562,151.1534
Pymble,2073,-33.7438,151.1422
Turramurra,2074,-33.7319,151.1306
St Ives,2075,-33.7275,151.1725
Wahroonga,2076,-33.7196,151.1182
Hornsby,2077,-33.7033,151.0978
Mount Colah,2079,-33.6933,151.1122
Mount Kuring-Gai,2080,-33.6822,151.1211
Berowra,2081,-33.6667,151.1333
Cowan,2082,-33.65,151.15
Brooklyn,2083,-33.6167,151.15
Cottage Point,2084,-33.6,151.2333
Belrose,2085,-33.7333,151.2167
Frenchs Forest,2086,-33.75,151.2167
Forestville,2087,-33.7667,151.2167
Mosman,2088,-33.829,151.2427
Neutral Bay,2089,-33.8329,151.2227
Cremorne,2090,-33.8293,151.2289
Seaforth,2092,-33.8048,151.2435
Balgowlah,2093,-33.7964,151.2612
Fairlight,2094,-33.7972,151.2721
Manly,2095,-33.7963,151.2878
Freshwater,2096,-33.7801,151.2863
Collaroy,2097,-33.7333,151.3
Dee Why,2099,-33.7507,151.2954
Brookvale,2100,-33.7656,151.2707
Narrabeen,2101,-33.7193,151.2959
Warriewood,2102,-33.6922,151.3044
Mona Vale,2103,-33.6749,151.306
Bayview,2104,-33.65,151.3167
Church Point,2105,-33.6333,151.3167
Newport,2106,-33.6333,151.3
Avalon,2107,-33.6333,151.3333
Palm Beach,2108,-33.5986,151.3204
Hunters Hill,2110,-33.8333,151.15
Gladesville,2111,-33.8167,151.1333
Ryde,2112,-33.8153,151.1011
North Ryde,2113,-33.7925,151.1333
West Ryde,2114,-33.805,151.085
Meadowbank,2115,-33.805,151.07
Rydalmere,2116,-33.8,151.0667
Dundas,2117,-33.7833,151.0667
Carlingford,2118,-33.7833,151.05
Beecroft,2119,-33.7667,151.05
Pennant Hills,2120,-33.75,151.0667
Epping,2121,-33.7744,151.0822
Eastwood,2122,-33.7833,151.1
West Pennant Hills,2125,-33.7833,151.0333
Cherrybrook,2126,-33.7333,151.0333
Newington,2127,-33.8427,151.0664
Silverwater,2128,-33.8422,151.0475
Summer Hill,2130,-33.8893,151.1378
Ashfield,2131,-33.8889,151.1256
Croydon,2132,-33.8833,151.1167
Croydon Park,2133,-33.8833,151.1
Burwood,2134,-33.8774,151.1038
Strathfield,2135,-33.8797,151.0827
Enfield,2136,-33.875,151.075
Concord,2137,-33.8542,151.1031
Rhodes,2138,-33.8297,151.0872
Homebush,2140,-33.8667,151.0833
Lidcombe,2141,-33.8642,151.0428
Granville,2142,-33.8333,151.0167
Regents Park,2143,-33.8833,151
Auburn,2144,-33.8497,151.0336
Wentworthville,2145,-33.8167,150.9333
Toongabbie,2146,-33.7833,150.95
Seven Hills,2147,-33.7833,150.9333
Blacktown,2148,-33.771,150.9063
Parramatta,2150,-33.815,151.0011
North Rocks,2151,-33.78,151.0183
Northmead,2152,-33.7833,151
Baulkham Hills,2153,-33.7578,150.9906
Castle Hill,2154,-33.7297,151.0069
Kellyville,2155,-33.7126,150.9507
Annangrove,2156,-33.6833,150.95
Glenorie,2157,-33.65,151.0333
Dural,2158,-33.6667,151
Galston,2159,-33.6333,151.0333
Merrylands,2160,-33.85,150.9333
Guildford,2161,-33.85,150.9167
Chester Hill,2162,-33.8667,150.9667
Villawood,2163,-33.8833,150.9667
Smithfield,2164,-33.8667,150.9167
Fairfield,2165,-33.8667,150.8833
Canley Vale,2166,-33.8833,150.9167
Green Valley,2168,-33.9167,150.8833
Liverpool,2170,-33.9167,150.9167
Hoxton Park,2171,-33.9333,150.85
Bossley Park,2176,-33.8667,150.85
Greenacre,2190,-33.9167,151.0667
Belfield,2191,-33.8967,151.0967
Belmore,2192,-33.892,151.116
Canterbury,2193,-33.91,151.114
Campsie,2194,-33.9125,151.1278
Lakemba,2195,-33.9214,151.0822
Punchbowl,2196,-33.9358,151.0736
Bass Hill,2197,-33.92,151.09
Georges Hall,2198,-33.92,151.05
Yagoona,2199,-33.93,151.03
Bankstown,2200,-33.9167,151.0333
Dulwich Hill,2203,-33.9103,151.1408
Marrickville,2204,-33.9111,151.1573
Wolli Creek,2205,-33.9312,151.1565
Earlwood,2206,-33.9229,151.1293
Bexley,2207,-33.9482,151.126
Kingsgrove,2208,-33.9372,151.1062
Beverly Hills,2209,-33.9515,151.0825
Peakhurst,2210,-33.95,151.0667
Padstow,2211,-33.95,151.0167
Revesby,2212,-33.9667,151.0167
Panania,2213,-33.9667,150.9833
Milperra,2214,-33.9667,150.9667
Rockdale,2216,-33.9517,151.1388
Kogarah,2217,-33.965,151.135
Carlton,2218,-33.9667,151.1167
Sans Souci,2219,-33.9833,151.1333
Hurstville,2220,-33.9678,151.1036
Carss Park,2221,-33.9833,151.1
Penshurst,2222,-33.9833,151.0833
Oatley,2223,-33.9833,151.0667
Sylvania,2224,-34,151.0667
Oyster Bay,2225,-34.0167,151.0667
Jannali,2226,-34.0167,151.05
Gymea,2227,-34.0333,151.05
Miranda,2228,-34.0361,151.1028
Caringbah,2229,-34.0333,151.1167
Cronulla,2230,-34.0574,151.1522
Kurnell,2231,-34.0167,151.15
Sutherland,2232,-34.0315,151.0583
Engadine,2233,-34.05,151
Menai,2234,-34,151.0167
Campbelltown,2560,-34.0667,150.8167
Camden,2570,-34.05,150.7
Glenmore Park,2745,-33.7333,150.6833
Kingswood,2747,-33.7667,150.7167
Penrith,2750,-33.7507,150.6877
St Marys,2760,-33.7667,150.7833
Quakers Hill,2763,-33.7333,150.8333
Glenwood,2768,-33.7167,150.9167
